"","category","over_represented_pvalue","under_represented_pvalue","numDEInCat","numInCat","term","ontology"
"3841","GO:0021782",0.0261056423700195,0.982955551690778,58,132,"glial cell development","BP"
"5869","GO:0036462",0.0262542944538438,0.994547239347522,7,11,"TRAIL-activated apoptotic signaling pathway","BP"
"7439","GO:0046825",0.0262943081319614,0.988532849604767,18,36,"regulation of protein export from nucleus","BP"
"14775","GO:2000811",0.0262974046395919,0.99181932216185,12,19,"negative regulation of anoikis","BP"
"11349","GO:0098969",0.0263260433937893,0.993092048318869,10,15,"neurotransmitter receptor transport to postsynaptic membrane","BP"
"3498","GO:0019082",0.0263987095820364,0.989181747088578,17,31,"viral protein processing","BP"
"8209","GO:0051346",0.026476087568254,0.988274824305827,19,37,"negative regulation of hydrolase activity","BP"
"2586","GO:0010269",0.0265608241480793,0.99446823126298,7,11,"response to selenium ion","BP"
"8208","GO:0051345",0.0265638365881571,0.983119538225502,53,115,"positive regulation of hydrolase activity","BP"
"9470","GO:0061951",0.0265843725501384,0.985120948374147,34,71,"establishment of protein localization to plasma membrane","BP"
"5334","GO:0034498",0.0267021751075103,0.994070171115746,8,12,"early endosome to Golgi transport","BP"
"8649","GO:0060143",0.0267146601574805,0.990392945130823,13,24,"positive regulation of syncytium formation by plasma membrane fusion","BP"
"2608","GO:0010457",0.0267613201061292,0.992954766160383,10,15,"centriole-centriole cohesion","BP"
"57","GO:0000302",0.0268415911209908,0.981126150371416,79,195,"response to reactive oxygen species","BP"
"5659","GO:0035794",0.0268773731469981,0.987600008747975,20,41,"positive regulation of mitochondrial membrane permeability","BP"
"859","GO:0002756",0.0270459454145191,0.99243040780216,10,16,"MyD88-independent toll-like receptor signaling pathway","BP"
"6887","GO:0045599",0.0273378202339958,0.986199016425844,26,51,"negative regulation of fat cell differentiation","BP"
"3300","GO:0016180",0.0274817094091015,0.98806457928899,18,35,"snRNA processing","BP"
"5325","GO:0034472",0.0276240092601476,0.990227213115528,13,23,"snRNA 3'-end processing","BP"
"8648","GO:0060142",0.027702087416614,0.988974235268057,15,29,"regulation of syncytium formation by plasma membrane fusion","BP"
"609","GO:0002357",0.0277764924387373,0.993776339741598,8,12,"defense response to tumor cell","BP"
"7863","GO:0050435",0.0277835356151979,0.985356778480522,28,58,"amyloid-beta metabolic process","BP"
"8143","GO:0051222",0.027797260795751,0.979467987763438,106,257,"positive regulation of protein transport","BP"
"4792","GO:0032753",0.0278330084030368,0.98926035379169,15,27,"positive regulation of interleukin-4 production","BP"
"7770","GO:0048711",0.0279793564253899,0.993720533120434,8,12,"positive regulation of astrocyte differentiation","BP"
"6500","GO:0043409",0.0280702134970211,0.98075580059483,71,164,"negative regulation of MAPK cascade","BP"
"10647","GO:0085029",0.0281982655393589,0.98646698110872,23,44,"extracellular matrix assembly","BP"
