"","SRR4785988.sorted.bam","SRR4785986.sorted.bam","SRR4785980.sorted.bam","SRR4785979.sorted.bam","SRR4785831.sorted.bam","SRR4785828.sorted.bam","SRR4785820.sorted.bam","SRR4785819.sorted.bam"
"TNFRSF8",0,0,0,0,0,0,0,0
"RNU6-777P",0,0,0,0,0,0,0,0
"RPL23AP89",0,0,0,0,0,0,0,0
"MIR7846",0,0,0,0,0,0,0,0
"TNFRSF1B",0,0,0,0,0,0,0,0
"LOC124903844",0,0,0,0,0,0,0,0
"MIR4632",0,0,0,0,0,0,0,0
"RPL10P17",0,0,0,0,0,0,0,0
"LOC124900427",0,0,0,0,0,0,0,0
"VPS13D",0,0,0,0,0,0,0,0
"LOC124903845",0,0,0,0,0,0,0,0
"LOC124904680",0,0,0,0,0,0,0,0
"SNORA59A",0,0,0,0,0,0,0,0
"LINC02766",0,0,0,0,0,0,0,0
"DHRS3",0,0,0,0,0,0,0,0
"RNU6ATAC18P",0,0,0,0,0,0,0,0
"MIR6730",0,0,0,0,0,0,0,0
"AADACL4",0,0,0,0,0,0,0,0
"LOC124903846",0,0,0,0,0,0,0,0
"AADACL3",0,0,0,0,0,0,0,0
"LOC124904811",0,0,0,0,0,0,0,0
"CFAP107",0,0,0,0,0,0,0,0
"PRAMEF12",0,0,0,0,0,0,0,0
"PRAMEF1",0,0,0,0,0,0,0,0
"LINC01784",0,0,0,0,0,0,0,0
"PRAMEF11",0,0,0,0,0,0,0,0
"PRAMEF30P",0,0,0,0,0,0,0,0
"HNRNPCL1",0,0,0,0,0,0,0,0
"PRAMEF2",0,0,0,0,0,0,0,0
"PRAMEF4",0,0,0,0,0,0,0,0
"PRAMEF10",0,0,0,0,0,0,0,0
"PRAMEF7",0,0,0,0,0,0,0,0
"RNU6-1072P",0,0,0,0,0,0,0,0
"PRAMEF29P",0,0,0,0,0,0,0,0
"PRAMEF6",0,0,0,0,0,0,0,0
"PRAMEF28P",0,0,0,0,0,0,0,0
"PRAMEF27",0,0,0,0,0,0,0,0
"HNRNPCL3",0,0,0,0,0,0,0,0
"PRAMEF25",0,0,0,0,0,0,0,0
"PRAMEF34P",0,0,0,0,0,0,0,0
"PRAMEF35P",0,0,0,0,0,0,0,0
"HNRNPCL2",0,0,0,0,0,0,0,0
"PRAMEF36P",0,0,0,0,0,0,0,0
"PRAMEF26",0,0,0,0,0,0,0,0
"HNRNPCL4",0,0,0,0,0,0,0,0
"PRAMEF9",0,0,0,0,0,0,0,0
"PRAMEF13",0,0,0,0,0,0,0,0
"PRAMEF18",0,0,0,0,0,0,0,0
"PRAMEF31P",0,0,0,0,0,0,0,0
"PRAMEF5",0,0,0,0,0,0,0,0
"PRAMEF32P",0,0,0,0,0,0,0,0
"RNU6-771P",0,0,0,0,0,0,0,0
"PRAMEF8",0,0,0,0,0,0,0,0
"PRAMEF33",0,0,0,0,0,0,0,0
"PRAMEF15",0,0,0,0,0,0,0,0
"PRAMEF14",0,0,0,0,0,0,0,0
"PRAMEF19",0,0,0,0,0,0,0,0
"PRAMEF17",0,0,0,0,0,0,0,0
"PRAMEF20",0,0,0,0,0,0,0,0
"LRRC38",0,0,0,0,0,0,0,0
"LOC102724856",0,0,0,0,0,0,0,0
"LOC107984918",0,0,0,0,0,0,0,0
"BRWD1P1",0,0,0,0,0,0,0,0
"PDPN",0,0,0,0,0,0,0,0
"RNA5SP41",0,0,0,0,0,0,0,0
"LOC105378612",0,0,0,0,0,0,0,0
"LOC105376756",0,0,0,0,0,0,0,0
"LOC124900446",0,0,0,0,0,0,0,0
"PRDM2",0,0,0,0,0,0,0,0
"KAZN",0,0,0,0,0,0,0,0
"RNU6-1265P",0,0,0,0,0,0,0,0
"LOC107985467",0,0,0,0,0,0,0,0
"LOC124903847",0,0,0,0,0,0,0,0
"KAZN-AS1",0,0,0,0,0,0,0,0
"LOC124903850",0,0,0,0,0,0,0,0
"TBCAP2",0,0,0,0,0,0,0,0
"LOC105376759",0,0,0,0,0,0,0,0
"LOC124903848",0,0,0,0,0,0,0,0
"LOC107985469",0,0,0,0,0,0,0,0
"LOC124903849",0,0,0,0,0,0,0,0
"TMEM51-AS1",0,0,0,0,0,0,0,0
"TMEM51",0,0,0,0,0,0,0,0
"TMEM51-AS2",0,0,0,0,0,0,0,0
"MFFP1",0,0,0,0,0,0,0,0
"ZBTB2P1",0,0,0,0,0,0,0,0
"FHAD1",0,0,0,0,0,0,0,0
